Warning: file 'Mem.hex' for memory 'rf' has a gap at addresses 524288 to 150994943.
Warning: RegFile 'top.mem_model.rf' -- Read address is out of bounds: 0xaaaaaaaaaaaaaaaa
================================================================
Bluespec RISC-V standalone system simulation v1.1
Copyright (c) 2017-2018 Bluespec, Inc. All Rights Reserved.
================================================================
================================================================
CPU: Bluespec  RISC-V  Piccolo  v3.0
Copyright (c) 2016-2018 Bluespec, Inc. All Rights Reserved.
================================================================
135: Mem_Controller.set_addr_map: addr_base 0x80000000 addr_lim 0x90000000
[[ 0x00a5 ]], halt: False, trap: False, insn:0x00b00113, pc:0x8000b8a8, rd: 0x00010, rd_wdata:0x000000000000000b
[[ 0x00a6 ]], halt: False, trap: False, insn:0x00208f33, pc:0x8000b8ac, rd: 0x11110, rd_wdata:0x0000000000000018
[[ 0x00a7 ]], halt: False, trap: False, insn:0x000f0313, pc:0x8000b8b0, rd: 0x00110, rd_wdata:0x0000000000000018
[[ 0x00a8 ]], halt: False, trap: False, insn:0x00120213, pc:0x8000b8b4, rd: 0x00100, rd_wdata:0x0000000000000002
[[ 0x00a9 ]], halt: False, trap: False, insn:0x00200293, pc:0x8000b8b8, rd: 0x00101, rd_wdata:0x0000000000000002
[[ 0x00aa ]], halt: False, trap: False, insn:0xfe5214e3, pc:0x8000b8bc, rd: 0x00000, rd_wdata:0x0000000000000000
[[ 0x00ab ]], halt: False, trap: False, insn:0x01800e93, pc:0x8000b8c0, rd: 0x11101, rd_wdata:0x0000000000000018
[[ 0x00ac ]], halt: False, trap: False, insn:0x01400193, pc:0x8000b8c4, rd: 0x00011, rd_wdata:0x0000000000000014
[[ 0x00ad ]], halt: False, trap: False, insn:0x2fd31263, pc:0x8000b8c8, rd: 0x00000, rd_wdata:0x0000000000000000
[[ 0x00ae ]], halt: False, trap: False, insn:0x00000213, pc:0x8000b8cc, rd: 0x00100, rd_wdata:0x0000000000000000
[[ 0x00af ]], halt: False, trap: False, insn:0x00e00093, pc:0x8000b8d0, rd: 0x00001, rd_wdata:0x000000000000000e
[[ 0x00b0 ]], halt: False, trap: False, insn:0x00b00113, pc:0x8000b8d4, rd: 0x00010, rd_wdata:0x000000000000000b
[[ 0x00b1 ]], halt: False, trap: False, insn:0x00208f33, pc:0x8000b8d8, rd: 0x11110, rd_wdata:0x0000000000000019
[[ 0x00b2 ]], halt: False, trap: False, insn:0x00000013, pc:0x8000b8dc, rd: 0x00000, rd_wdata:0x0000000000000000
[[ 0x00b3 ]], halt: False, trap: False, insn:0x000f0313, pc:0x8000b8e0, rd: 0x00110, rd_wdata:0x0000000000000019
[[ 0x00b4 ]], halt: False, trap: False, insn:0x00120213, pc:0x8000b8e4, rd: 0x00100, rd_wdata:0x0000000000000001
[[ 0x00b5 ]], halt: False, trap: False, insn:0x00200293, pc:0x8000b8e8, rd: 0x00101, rd_wdata:0x0000000000000002
[[ 0x00b6 ]], halt: False, trap: False, insn:0xfe5212e3, pc:0x8000b8ec, rd: 0x00000, rd_wdata:0x0000000000000000
